Observation Likelihood Method,Number of Particles,Time Steps Until Convergence
SQDIFF,100,20
SQDIFF,100,53
SQDIFF,100,19
SQDIFF,100,99
SQDIFF,100,39
SQDIFF,100,42
SQDIFF,100,54
SQDIFF,100,24
SQDIFF,100,37
SQDIFF,100,51
SQDIFF,500,74
SQDIFF,500,93
SQDIFF,500,47
SQDIFF,500,68
SQDIFF,500,61
SQDIFF,1000,81
SQDIFF,1000,72
SQDIFF,1000,50
SQDIFF,1000,62
SQDIFF,1000,73
SQDIFF,1000,71
CCORR,100,58
CCORR,100,65
CCORR,100,61
CCORR,100,69
CCORR,100,54
CCORR,100,55
CCORR,100,42
CCORR,500,98
CCOEFF,100,7
CCOEFF,100,4
CCOEFF,100,5
CCOEFF,100,8
CCOEFF,100,10
CCOEFF,100,11
CCOEFF,100,7
CCOEFF,100,11
CCOEFF,100,11
CCOEFF,100,11
CCOEFF,500,9
CCOEFF,500,21
CCOEFF,500,7
CCOEFF,500,10
CCOEFF,500,13
CCOEFF,500,9
CCOEFF,500,17
CCOEFF,500,22
CCOEFF,500,12
CCOEFF,500,10
CCOEFF,1000,12
CCOEFF,1000,13
CCOEFF,1000,12
CCOEFF,1000,11
CCOEFF,1000,13
CCOEFF,1000,20
CCOEFF,1000,20
CCOEFF,1000,17
CCOEFF,1000,12
CCOEFF,1000,6
